Record ID,Title,Author,Journal,Publisher,OriginalPaperDate,OriginalPaperDOI,Reason,Subject
70629.0,An MCDM approach on Einstein aggregation operators under Bipolar Linear Diophantine Fuzzy Hypersoft Set,S Nithya Sri;J Vimala;Nasreen Kausar;Ebru Ozbilge;Emre Özbilge;Dragan Pamucar,Heliyon,Elsevier - Cell Press,2024-04-23,10.1016/j.heliyon.2024.e29863,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Data Science;(HSC) Medicine - Oncology;
70621.0,Treatment of cancer patients by generalizing a Fermatean normal vague set with aggregation operators,Murugan Palanikumar;Nasreen Kausar;Ebru Ozbilge;Tonguc Cagin;Dragan Pamucar,Heliyon,Elsevier - Cell Press,2024-11-12,10.1016/j.heliyon.2024.e40252,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Data Science;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Oncology;(HSC) Medicine - Rehabilitation/Therapy;
70339.0,Intelligent digital art design fusion platform based on multimodal transformation,Xiao Li,Journal of Computational Methods in Sciences and Engineering,IOS Press (bought by Sage November 2023),2025-09-03,10.1177/14727978251374335,Compromised Peer Review;Concerns/Issues about Third Party Involvement;Investigation by Journal/Publisher;Paper Mill;,(B/T) Computer Science;(HUM) Arts - General;
70230.0,Using Machine Learning to Detect Bixonimania: An Early Feasibility Study,Lazljiv Izgubljenovic;Nao Tippet;Betsy Thurberg;Andi Deep,Preprints.org,MDPI,2024-04-26,10.20944/preprints202404.1687.v1,Computer-Aided Content or Computer-Generated Content;False/Forged Affiliation;False/Forged Authorship;Notice - Limited or No Information;,(B/T) Data Science;(HSC) Medicine - Ophthalmology;
70025.0,Sentiment analysis: From rule-based lexicons to large language models,Maikel Leon,Intelligent Systems with Applications,Elsevier,2025-11-07,10.1016/j.iswa.2025.200599,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Data Science;(SOC) Linguistics;
69765.0,Early detection of plant leaf diseases using stacking hybrid learning,Abdullah Sheneamer,PLoS One,PLoS,2024-11-22,10.1371/journal.pone.0313607,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Methods;Concerns/Issues about Results and/or Conclusions;Objections by Author(s);,(B/T) Data Science;(BLS) Agriculture;
69457.0,Interpretable machine learning framework for predicting Urban air quality,Rana Muhammad Amir Latif;Tahir Iqbal;Ismaeel Abdel Qader;Atif Ikram;Hadeel Alsolai;Bayan Alabdullah;Fatimah Alhayan;Taher M Ghazal,PLoS One,PLoS,2025-11-07,10.1371/journal.pone.0336241,Compromised Peer Review;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Methods;Concerns/Issues about Peer Review;Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Computer Science;(ENV) Environmental Sciences;(HSC) Public Health and Safety;
69297.0,A multi-layer neural network-based evaluation of MHD radiative heat transfer in Eyring-Powell fluid model,Muflih Alhazmi;Zahoor Shah;Muhammad Asif Zahoor Raja;Nafisa A Albasheir;Maryam Jawaid,Heliyon,Elsevier - Cell Press,2025-02-08,10.1016/j.heliyon.2025.e41800,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Data Science;(PHY) Physics;
69016.0,Experimental studies on electronic smart device for automobiles application,Shuvendra Kumar Tripathy;Subhra Rani Mondal;Manas Ranjan Nayak;Gopinath Palai,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-05-02,10.1007/s11082-023-04789-7,Compromised Peer Review;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(B/T) Transportation;
68824.0,Enhancing stroke disease classification through machine learning models via a novel voting system by feature selection techniques,Mahade Hasan;Farhana Yasmin;Md Mehedi Hassan;Xue Yu;Soniya Yeasmin;Herat Joshi;Sheikh Mohammed Shariful Islam,PLoS One,PLoS,2025-01-09,10.1371/journal.pone.0312914,Cites Retracted Work;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Authorship/Affiliation;,(B/T) Data Science;(HSC) Medicine - Neurology;
68198.0,Anomaly detection in multivariate time series data using deep ensemble models,Amjad Iqbal;Rashid Amin;Faisal S Alsubaei;Abdulrahman Alzahrani,PLoS One,PLoS,2024-06-06,10.1371/journal.pone.0303890,Cites Retracted Work;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);,(B/T) Computer Science;
68116.0,A novel step-up modified SEPIC converter to enhance photovoltaic system performance using a hybrid ANN-PSO algorithm,Rawia M Esmil;Ahmed R Ajel;Mahdi F Bonnya,Engineering Research Express,IOP Publishing,2025-08-14,10.1088/2631-8695/ad885f,Computer-Aided Content or Computer-Generated Content;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(PHY) Energy;(PHY) Engineering - Electrical;
67670.0,Composition statistics of gynecological microscopic images based on texture analysis and medical intelligence system,Hui Li;Ying Yuan;Ping Zhou;Nina Bao;Zhaoxin Zhang;Xue Yang,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-12-13,10.1007/s11082-023-05766-w,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(HSC) Medicine - Obstetrics/Gynecology;
67668.0,Optical handwritten character recognition for Tamil language using CNN-VGG-16 model with RF classifier,N Pughazendi;M HariKrishnan;Rashmita Khilar;L Sharmila,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-09-03,10.1007/s11082-023-05211-y,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(SOC) Linguistics;
